event,aX,aY,aZ,gX,gY,gZ
3,0.961,0.007,-0.177,-2.441,3.540,1.465
3,0.951,0.012,-0.151,-0.061,6.531,1.221
3,0.928,0.024,-0.143,5.737,15.381,-0.427
3,0.924,0.024,-0.145,8.423,21.973,-2.075
3,0.945,0.005,-0.154,7.263,23.499,-2.380
3,0.942,-0.003,-0.173,5.310,23.926,-2.502
3,0.915,-0.009,-0.193,6.287,24.719,-2.502
3,0.905,-0.001,-0.185,6.775,28.381,-2.380
3,0.905,-0.000,-0.186,5.249,30.762,-3.174
3,0.904,-0.010,-0.191,3.235,32.166,-3.235
3,0.905,-0.004,-0.185,-0.732,39.612,-3.479
3,0.894,0.009,-0.195,-1.221,45.715,-3.784
3,0.870,0.004,-0.225,-4.395,54.871,-3.418
3,0.846,0.004,-0.232,-7.202,59.265,-2.563
3,0.813,-0.006,-0.258,-7.690,61.523,-2.136
3,0.807,-0.009,-0.257,-9.949,64.880,-1.404
3,0.807,0.012,-0.230,-9.644,68.481,-1.099
3,0.797,0.031,-0.261,-2.625,82.275,-1.404
3,0.794,0.024,-0.289,2.380,95.825,-3.967
3,0.784,-0.001,-0.332,0.244,98.022,-4.639
3,0.769,-0.010,-0.346,-12.634,91.492,-2.441
3,0.733,-0.006,-0.377,-22.217,85.022,-0.305
3,0.723,0.030,-0.320,-24.963,79.834,2.075
3,0.721,0.037,-0.305,-8.240,98.267,0.488
3,0.703,0.011,-0.359,-5.737,108.093,-1.099
3,0.682,-0.009,-0.427,-14.038,108.032,-4.761
3,0.615,-0.035,-0.506,-18.005,97.717,-6.287
3,0.591,-0.028,-0.480,-15.076,82.947,-5.615
3,0.575,0.014,-0.411,-4.211,94.238,-5.310
3,0.587,0.009,-0.431,-0.061,103.394,-5.737
3,0.588,-0.037,-0.546,0.977,111.145,-8.240
3,0.589,-0.051,-0.615,-7.019,96.680,-11.047
3,0.590,-0.039,-0.682,-8.972,84.656,-10.193
3,0.610,-0.022,-0.667,-3.296,73.425,-7.446
3,0.671,-0.015,-0.616,3.296,77.332,-7.507
3,0.715,-0.048,-0.679,10.498,89.478,-8.423
3,0.733,-0.065,-0.742,1.709,82.153,-8.240
3,0.776,-0.085,-0.824,-6.226,72.021,-6.836
3,0.782,-0.080,-0.832,-11.169,60.364,-2.563
3,0.748,-0.055,-0.821,-5.188,61.951,-1.404
3,0.724,-0.048,-0.820,7.324,68.054,-2.625
3,0.694,-0.067,-0.832,2.930,64.575,-3.906
3,0.679,-0.097,-0.845,-1.343,60.791,-4.028
3,0.667,-0.109,-0.837,-7.996,53.284,-3.174
3,0.643,-0.104,-0.828,-11.414,50.110,-2.014
3,0.616,-0.088,-0.848,-9.094,42.236,-1.953
3,0.555,-0.055,-0.877,-1.404,36.865,-3.296
3,0.563,-0.053,-0.905,-1.099,34.912,-2.991
3,0.578,-0.074,-0.963,-8.057,24.719,0.000
3,0.564,-0.083,-0.986,-14.099,9.033,3.967
3,0.539,-0.080,-0.976,-12.878,5.676,4.822
3,0.541,-0.078,-0.949,-2.686,10.498,2.258
3,0.574,-0.075,-0.920,-0.244,14.038,0.610
3,0.581,-0.061,-0.952,-6.592,11.597,-0.305
3,0.577,-0.054,-0.981,-17.212,-1.282,2.930
3,0.560,-0.044,-1.021,-19.409,-7.141,5.920
3,0.546,-0.041,-1.017,-11.230,-8.972,8.850
3,0.539,-0.084,-0.979,-2.747,-5.066,6.897
3,0.561,-0.124,-0.966,5.066,-1.587,0.610
3,0.560,-0.111,-0.966,-1.709,-13.733,-1.587
3,0.530,-0.075,-0.960,-5.798,-19.714,-0.732
3,0.518,-0.073,-0.947,-7.080,-23.010,1.831
